"age","avg"
"65 and over",580.5266570857433474
"64",580.2997558159333268
"63",571.9106617484069954
"62",558.0996804013026216
"61",547.0792179470431254
"60",530.2966532001039035
"59",510.8885253075849548
"58",500.8380590411610942
"57",481.0417110701053253
"56",462.4801625928448776
"55",444.1036343924270762
"54",426.8943034385394450
"53",409.9284217524023581
"52",394.2081642256488500
"51",378.6653528487963601
"50",364.5351682773895068
"49",350.2137271416652995
"48",337.5102161431877591
"47",324.6315775738644442
"46",313.3493321357318634
"45",303.3019661424079360
"44",294.7177958964629065
"43",287.5276098847185309
"42",281.7667919368408964
"41",277.6130534300663889
"40",273.2887294661569927
"39",270.3828872080683794
"38",267.4927842514420711
"37",266.0313779263105511
"36",264.5811611320755542
"35",263.1380850231639160
"34",261.6403444131596504
"33",258.7739749823604686
"32",256.0866542354321838
"31",251.7951500941507804
"30",247.5047561890102919
"29",244.6293495607704170
"28",238.9095434025243079
"27",232.0877508118887467
"26",227.8581427452494231
"25",224.2339492629130164
"24",223.7582427644945369
"23",223.6743411014808982
"22",223.6041167130612156
"21",223.5453095251271451
"0-20",126.2074469233225055